data_provider,institutionCode,variable,counts
idigbio,ISTC,has_collectionCode,0
idigbio,ISTC,has_catalogNumber,0
idigbio,ISTC,has_scientificName,6788
idigbio,ISTC,has_acceptedNameUsage,0
idigbio,ISTC,has_locality,4167
idigbio,ISTC,has_countryCode,4857
idigbio,ISTC,has_coordinates,1
idigbio,ISTC,has_image,0
idigbio,ISTC,has_dateIdentified,0
idigbio,ISTC,has_identifiedBy,0
idigbio,ISTC,has_recordedBy,4903
idigbio,ISTC,has_eventDate,4896
idigbio,HAW,total,4189
idigbio,HAW,has_collectionCode,4189
idigbio,HAW,has_catalogNumber,4189
idigbio,HAW,has_scientificName,4189
idigbio,HAW,has_acceptedNameUsage,0
idigbio,HAW,has_locality,1657
idigbio,HAW,has_countryCode,2938
idigbio,HAW,has_coordinates,1
idigbio,HAW,has_image,4025
idigbio,HAW,has_dateIdentified,0
idigbio,HAW,has_identifiedBy,483
idigbio,HAW,has_recordedBy,3398
idigbio,HAW,has_eventDate,1
idigbio,UARK,total,2727
idigbio,UARK,has_collectionCode,0
idigbio,UARK,has_catalogNumber,2727
idigbio,UARK,has_scientificName,2727
idigbio,UARK,has_acceptedNameUsage,0
idigbio,UARK,has_locality,2712
idigbio,UARK,has_countryCode,2538
idigbio,UARK,has_coordinates,1171
idigbio,UARK,has_image,2727
idigbio,UARK,has_dateIdentified,1503
idigbio,UARK,has_identifiedBy,2635
idigbio,UARK,has_recordedBy,2710
idigbio,UARK,has_eventDate,2665
idigbio,LCDI,total,1395
idigbio,LCDI,has_collectionCode,0
idigbio,LCDI,has_catalogNumber,1284
idigbio,LCDI,has_scientificName,1395
idigbio,LCDI,has_acceptedNameUsage,0
idigbio,LCDI,has_locality,1191
idigbio,LCDI,has_countryCode,1395
