institutionCode,variable,counts
UCMP,has_identifiedBy,0
UCMP,has_recordedBy,30980
UCMP,has_eventDate,0
BEREA,total,24281
BEREA,has_collectionCode,0
BEREA,has_catalogNumber,24281
BEREA,has_speciesKey,24228
BEREA,has_scientificName,24281
BEREA,has_acceptedNameUsage,0
BEREA,has_locality,1983
BEREA,has_higherGeography,0
BEREA,has_countryCode,24232
BEREA,has_coordinates,14
BEREA,has_image,23454
BEREA,has_dateIdentified,1
BEREA,has_identifiedBy,45
BEREA,has_recordedBy,2017
BEREA,has_eventDate,1993
POM,total,121104
POM,has_collectionCode,121104
POM,has_catalogNumber,40288
POM,has_speciesKey,117623
POM,has_scientificName,121104
POM,has_acceptedNameUsage,0
POM,has_locality,121090
POM,has_higherGeography,0
POM,has_countryCode,121080
POM,has_coordinates,6771
POM,has_image,28510
POM,has_dateIdentified,0
POM,has_identifiedBy,0
POM,has_recordedBy,121072
POM,has_eventDate,110034
CHSC,total,102724
CHSC,has_collectionCode,102724
CHSC,has_catalogNumber,102724
CHSC,has_speciesKey,101410
CHSC,has_scientificName,102724
CHSC,has_acceptedNameUsage,0
CHSC,has_locality,102284
CHSC,has_higherGeography,0
CHSC,has_countryCode,102652
CHSC,has_coordinates,84836
CHSC,has_image,22954
CHSC,has_dateIdentified,10465
CHSC,has_identifiedBy,33767
CHSC,has_recordedBy,102412
CHSC,has_eventDate,102146
KHD,total,1
KHD,has_collectionCode,1
KHD,has_catalogNumber,1
KHD,has_speciesKey,1
KHD,has_scientificName,1
KHD,has_acceptedNameUsage,0
KHD,has_locality,1
KHD,has_higherGeography,0
KHD,has_countryCode,1
KHD,has_coordinates,0
KHD,has_image,1
KHD,has_dateIdentified,0
KHD,has_identifiedBy,0
KHD,has_recordedBy,1
KHD,has_eventDate,1
USA016,total,49784
USA016,has_collectionCode,49784
USA016,has_catalogNumber,49784
USA016,has_speciesKey,48703
USA016,has_scientificName,49784
USA016,has_acceptedNameUsage,0
USA016,has_locality,21452
USA016,has_higherGeography,0
USA016,has_countryCode,46101
USA016,has_coordinates,7250
USA016,has_image,0
USA016,has_dateIdentified,0
USA016,has_identifiedBy,0
USA016,has_recordedBy,0
USA016,has_eventDate,0
UTEP,total,83896
UTEP,has_collectionCode,83896
UTEP,has_catalogNumber,83896
UTEP,has_speciesKey,81098
UTEP,has_scientificName,83896
UTEP,has_acceptedNameUsage,0
UTEP,has_locality,83896
UTEP,has_higherGeography,83896
