uuid,name
eeb4872b-7fb4-4ecd-8ce5-82e194f04735,"Robert W. Freckmann Herbarium at the University of Wisconsin, Stevens Point"
6acaebd6-e8d2-454a-8f50-e7a6734b8c79,California State University East Bay Natural History Museum
1f2b44b8-8556-4d6e-8247-4611689551cf,University of Florida Herbarium
7026b70a-7245-42bd-8162-81ae9a6cfbcb,Maryland Department of Natural Resources
6d99bdeb-a96f-47bf-8e28-ce1093347335,HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia
5d307007-02e3-4c84-9e18-6356b50a5a56,HFSL-Fungos - Herbário Dr. Ary Tupinambá Penna Pinheiro - Fungos
7915973f-a3b0-4d2c-86e7-02d40647393c,"EAFM - Herbário do Instituto Federal de Educação, Ciência e Tecnologia do Amazonas"
605bb19b-7564-4e6d-a5df-8ec841d68ba0,DMNH Birds
9a09745d-4449-46a2-b8b3-60f3c0d25e83,North Dakota State University Herbarium
f3a5ec1a-49dd-4a52-8bd8-67cacae7a7ac,Fairchild Tropical Botanic Garden Herbarium
e6d3c1da-a02f-43a2-a5ef-6a035298b933,PSM Vertebrates Collection
029e1b92-bd6c-4037-9a0b-10136a879a74,SMNS Herpetologie
e95396c4-1cac-4c9b-b461-5f21cd978fc6,United States National Fungus Collections
2d2abb35-06b6-4fc4-beb6-edf3b841acf2,Museu Paraense Emilio Goeldi - Schizomida Collection
ce02a047-625d-4017-aeef-2c34e53824c8,Ohio State University Herbarium
d0d1c390-e662-4980-97e3-ae0039a06de8,Naturalis Biodiversity Center (NL) - Mammalia
a2845484-4243-44a3-8cd3-0a4866513ffc,MCNH Museum of Cultural and Natural History Amphibian Collection
03d3b1ea-c664-4699-ac3b-420735bef8e4,Centre for Biodiversity Genomics (BIOUG)
821c1855-6817-40ee-8732-7f472d238513,University of Alaska Museum of the North Herbarium
96662fa9-ff60-495b-912a-284f3b98ed72,University of New Mexico Herbarium
0a0f5c81-bf4d-492b-b459-08bd987a0c9a,Mammals Specimens
7c2c5cdc-80e6-49d5-8e95-08fc7da0a370,NCSM Paleobotany Collection
4bec11d1-f8c3-43a7-9e70-ee0256fcedaf,Duke University Herbarium Algae Collection
2ee56f8c-db1d-43aa-bfb7-3fb2a19601df,University of Wisconsin - Eau Claire
78ee1a12-9e8a-4d9c-84de-e2dfce4e1447,Fish Specimens
688b7731-d818-4063-b29d-666bd0024b8b,Inventarios florísticos en Baja California Sur (II): Vegetación costera
0604a91b-bb40-4cd4-a521-c11d3a38681d,Actualización de la base de datos de helmintos parásitos de peces de agua dulce de México
cfe5283d-89df-4662-8c45-8f0c76e90107,Colección de insectos agrícolas del proyecto diversidad en sistemas de cultivos
