institutionCode,total,has_collectionCode,has_catalogNumber,has_preparations,has_speciesKey,has_scientificName,has_scientificNameID,has_acceptedNameUsage,has_identificationID,has_locality,has_higherGeography,has_continent,has_countryCode,has_stateProvince,has_county,has_decimalLatitude,has_decimalLongitude,has_coordinates,has_verbatimElevation,has_verbatimDepth,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_recordNumber
CAMU,346,346,346,0,346,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMNH,23345,23345,23344,0,2347,23345,0,0,0,0,23344,23280,23280,23239,8176,0,0,0,0,0,11061,0,16549,1902,730,0
FHSM,3,3,3,0,0,3,0,0,0,3,0,3,0,3,3,0,0,0,0,0,3,0,3,3,0,3
BOON,16127,0,15276,4,15786,16127,0,0,0,5549,0,0,15962,15757,15165,3590,3590,3590,235,0,11425,193,696,5889,5855,3538
ECU,2423,2423,2423,0,2367,2423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA074,1909,1909,1909,0,1862,1909,0,0,0,58,0,0,1596,0,0,31,31,31,0,0,0,0,0,0,0,0
DMNH,57,57,57,57,0,57,0,0,0,57,0,0,54,44,38,0,0,0,0,0,0,0,0,10,0,0
CHAS,166,166,166,166,148,166,0,0,0,166,166,162,162,160,159,59,59,59,0,0,33,68,166,166,166,134
WOH,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRIT,19342,19342,19342,0,13205,19342,0,0,0,31,0,16317,17358,17295,16859,10374,10374,10374,0,0,0,13502,13671,17822,17234,0
UCBG,18900,18900,18900,0,16211,18900,0,0,0,18900,0,15882,16530,10465,5198,827,827,827,0,0,0,0,0,18900,0,0
NEOSU,1095,1095,1095,0,1076,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SJSU,15932,0,15892,0,15808,15932,0,0,0,15909,0,0,15927,15731,14136,9427,9427,9427,74,0,14503,13,44,15932,15865,11880
JFBM,9,9,9,0,0,9,0,0,0,9,0,0,8,8,8,5,5,5,0,0,0,0,0,9,8,2
MPM,16,16,16,0,0,16,0,0,0,0,16,16,16,16,12,1,1,1,0,0,0,0,0,14,4,0
USDA-SBML,4,4,4,0,4,4,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0
